基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
001496,工银聚焦30股票,股票型,1.74,工银瑞信基金,1.1080,胡志利,2019-11-07,19.31%,-0.84,-38.07%,54.32%
002578,博时裕泉纯债债券,债券型-长债,52.07,博时基金,1.1080,李秋实,2021-10-27,0.66%,1.87,8.46%,14.89%
005522,华泰保兴吉年福定开混合,混合型-灵活,1.55,华泰保兴基金,1.1080,田荣,2024-01-02,6.81%,-0.35,-2.64%,29.92%
007834,长盛稳怡添利债券C,债券型-混合二级,0.01,长盛基金,1.1080,杨哲,2024-06-04,3.59%,-0.84,-4.43%,None
013068,博时双月享60天滚动持有债券A,债券型-长债,6.62,博时基金,1.1080,郭思洁,2022-11-22,None,None,None,None
009229,平安增鑫六个月定开债E,债券型-长债,0.22,平安基金,1.1080,李瑾懿,2023-06-28,0.98%,2.54,12.48%,None
014258,国联恒泽纯债C,债券型-长债,0.36,国联基金,1.1080,罗汇,2024-01-17,None,None,None,None
040010,华安稳定收益债券B,债券型-混合一级,0.18,华安基金,1.1079,贺涛,2008-04-30,3.47%,-0.17,2.81%,16.95%
001497,大成月添利一个月滚动持有中短债E,债券型-中短债,0.05,大成基金,1.1079,万晓慧,2024-04-26,0.48%,1.36,6.61%,None
007749,民生加银鹏程混合C,混合型-偏债,1.40,民生加银基金,1.1079,谢志华,2022-05-25,4.70%,-1.01,-9.43%,None
007935,平安惠澜纯债A,债券型-长债,31.43,平安基金,1.1079,张文平,2021-06-23,0.79%,3.97,14.62%,None
007551,鑫元泽利A,债券型-混合一级,2.87,鑫元基金,1.1079,曹建华,2022-09-30,0.79%,5.55,18.78%,None
003280,鹏华丰恒债券A,债券型-长债,164.70,鹏华基金,1.1078,方昶,2019-01-25,0.53%,4.27,11.67%,22.11%
003660,中加纯债两年债券A,债券型-长债,8.17,中加基金,1.1078,于跃,2022-04-29,None,None,14.54%,20.76%
009309,国寿安保尊庆6个月持有期债券A,债券型-长债,0.44,国寿安保基金,1.1078,卢珊,2021-07-26,None,None,10.68%,None
012356,浦银安盛季季鑫90天滚动短债A,债券型-中短债,4.06,浦银安盛基金,1.1078,曹治国,2021-06-08,0.44%,4.26,10.45%,None
013976,财通资管鸿佳60天滚动中短债A,债券型-中短债,2.61,财通资管,1.1078,李杰,2023-07-25,None,None,None,None
005880,建信上证50ETF发起联接A,指数型-股票,0.42,建信基金,1.1077,薛玲,2018-10-25,15.31%,-0.64,-22.88%,0.46%
007078,工银3-5年国开债指数A,指数型-固收,0.38,工银瑞信基金,1.1077,汪湛,2022-05-19,1.33%,1.92,12.63%,20.88%
007329,摩根瑞益纯债债券A,债券型-长债,3.78,摩根资产管理,1.1076,任翔,2019-11-26,0.38%,3.88,9.17%,None
008976,富国中证消费50ETF联接C,指数型-股票,1.91,富国基金,1.1076,王乐乐,2020-03-18,20.18%,-0.70,-33.09%,None
008266,华夏鼎明债券A,债券型-长债,11.50,华夏基金,1.1076,孙蕾,2022-06-29,0.40%,2.72,7.98%,None
008356,中加科丰价值精选混合,混合型-偏债,3.52,中加基金,1.1076,钟伟,2023-02-15,2.38%,0.23,6.23%,None
018010,长盛电子信息产业混合C,混合型-偏股,2.91,长盛基金,1.1076,杨秋鹏,2023-03-02,None,None,None,None
010742,南方宁悦一年持有期混合A,混合型-偏债,4.99,南方基金,1.1075,孙鲁闽,2021-01-06,3.91%,0.37,9.11%,None
019533,鑫元泽利C,债券型-混合一级,None,鑫元基金,1.1075,曹建华,2023-09-19,None,None,None,None
001393,国富金融地产混合C,混合型-灵活,0.05,国海富兰克林基金,1.1073,赵宇烨,2018-09-08,18.84%,-0.50,-22.11%,-14.39%
851896,海通安泰债券C,债券型-混合一级,0.32,上海海通证券资产管理,1.1073,李夏,2022-01-07,None,None,None,None
013075,建信鑫悦90天滚动中短债A,债券型-中短债,31.54,建信基金,1.1072,陈建良,2021-08-10,None,None,None,None
013236,长信30天滚动持有债券A,债券型-中短债,31.33,长信基金,1.1072,杜国昊,2021-09-09,None,None,None,None
007850,方正富邦天睿混合A,混合型-灵活,2.13,方正富邦基金,1.1071,汤戈,2023-11-09,17.98%,-0.54,-22.84%,None
001365,大成正向回报灵活配置混合A,混合型-灵活,0.56,大成基金,1.1070,张家旺,2022-11-24,23.49%,-0.73,-40.19%,60.20%
003661,中加纯债两年债券C,债券型-长债,0.00,中加基金,1.1070,于跃,2022-04-29,None,None,13.69%,19.28%
008957,鹏华中债3-5年国开债指数C,指数型-固收,0.05,鹏华基金,1.1070,叶朝明,2022-01-28,1.22%,2.25,13.32%,None
007931,淳厚稳鑫债券C,债券型-长债,2.87,淳厚基金,1.1070,江文军,2020-09-10,8.45%,0.77,25.85%,None
017043,汇添富品质价值混合,混合型-偏股,36.34,汇添富基金,1.1070,温宇峰,2022-12-12,None,None,None,None
