代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
007408,鹏扬淳开债券A,纯债,5,0,2024-07-04,1.0292,0.0001,3.69
970007,华安证券汇赢增利一年持有混合B,灵活配置,5,0,2024-07-04,1.2341,-0.0045,5.60
009267,广发双债添利债券E,信用债,5,0,2024-07-04,1.2318,0.0004,3.96
000131,大成景兴信用债债券C,普通债券,5,4,2024-07-04,1.5022,-0.0010,3.65
007537,景顺长城景泰盈利纯债债券,纯债,5,5,2024-07-04,1.2099,0.0003,3.31
004061,华夏鼎隆债券A,纯债,5,4,2024-07-04,1.0045,0.0001,3.52
009100,安信稳健增利混合A,沪港深保守混合,5,0,2024-07-04,1.2940,-0.0046,6.27
007828,创金合信信用红利债券A,普通债券,5,0,2024-07-04,1.2889,0.0003,3.30
003223,广发景丰纯债债券A,信用债,5,0,2024-07-04,1.1422,0.0002,3.75
011489,创金合信双季享6个月持有期债券A,普通债券,5,0,2024-07-04,1.1513,0.0001,2.95
003156,招商招悦纯债债券A,信用债,5,5,2024-07-04,1.1088,0.0002,2.90
000037,广发景宁纯债债券A,信用债,5,0,2024-07-04,1.1505,0.0003,2.97
002236,大成中证360互联网+大数据100指数A,行业股票-科技、传媒及通讯,5,5,2024-07-04,1.6746,-0.0482,-23.71
000187,华泰柏瑞丰盛纯债债券A,纯债,5,5,2024-07-04,1.1327,0.0001,2.17
161119,易方达中债新综指发起式（LOF）A,纯债,5,5,2024-07-04,1.6934,0.0001,3.57
007252,广发中债农发行债券总指数A,利率债,5,0,2024-07-04,1.0757,0.0000,4.19
004388,鹏华丰享债券,信用债,5,5,2024-07-04,1.2336,0.0002,3.08
270048,广发纯债债券A,信用债,5,5,2024-07-04,1.2484,0.0002,3.27
010841,华宝红利精选混合C,积极配置 - 大盘平衡,5,0,2024-07-04,1.1983,-0.0023,16.76
002881,中加丰润纯债债券A,信用债,5,4,2024-07-04,1.1178,0.0002,2.96
290012,泰信行业精选灵活配置混合A,行业混合 - 科技、传媒及通讯,5,4,2024-07-04,1.4020,-0.0280,-19.53
009625,天弘中债3-5年政策性金融债指数A,利率债,5,0,2024-07-04,1.0482,-0.0003,3.75
004062,华夏鼎隆债券C,纯债,5,4,2024-07-04,1.0492,0.0001,3.46
003424,江信洪福纯债债券,信用债,5,5,2024-07-04,1.0855,0.0002,2.32
003863,招商招祥纯债债券A,信用债,5,4,2024-07-04,1.1398,0.0002,2.94
010440,诺德安鸿纯债债券A,纯债,5,0,2024-07-04,1.0444,0.0002,2.63
008340,华富中债-安徽省公司信用债券指数A,信用债,5,0,2024-07-04,1.0525,0.0002,2.73
003864,招商招祥纯债债券C,信用债,5,0,2024-07-04,1.1393,0.0002,2.94
161908,万家添利债券（LOF）C,可转债,5,4,2024-07-04,1.0792,-0.0041,2.09
007935,平安惠澜纯债债券A,信用债,5,0,2024-07-04,1.1080,0.0002,2.78
008232,中银恒优12个月持有期债券A,普通债券,5,0,2024-07-04,1.0936,-0.0009,3.36
005853,财通聚利纯债债券,信用债,5,4,2024-07-04,1.1575,0.0004,2.31
006195,国金量化多因子股票A,中盘平衡股票,5,4,2024-07-04,1.7076,-0.0301,-18.50
002795,平安惠盈纯债债券A,信用债,5,4,2024-07-04,1.2080,0.0000,3.02
008206,国泰聚瑞纯债债券 A,信用债,5,0,2024-07-04,1.0210,0.0002,2.66
002175,博时裕乾纯债债券A,纯债,5,5,2024-07-04,1.1552,0.0000,5.24
485119,工银信用纯债债券A,信用债,5,3,2024-07-04,1.4532,0.0004,3.25
002583,泰信行业精选灵活配置混合C,行业混合 - 科技、传媒及通讯,5,4,2024-07-04,1.3980,-0.0280,-19.58
675161,西部利得汇盈债券A,信用债,5,5,2024-07-04,1.1525,0.0002,3.03
005908,华泰保兴尊利债券A,积极债券,5,5,2024-07-04,1.3137,-0.0034,8.01
003417,中加丰泽纯债债券A,信用债,5,4,2024-07-04,1.0909,0.0001,3.00
000306,天弘弘利债券A,纯债,5,4,2024-07-04,1.0952,-0.0001,5.23
519762,交银施罗德裕通纯债债券A,纯债,5,4,2024-07-04,1.0955,0.0000,2.98
003074,宏利汇利债券C,纯债,5,0,2024-07-04,1.1707,0.0002,2.88
008207,国泰合融纯债债券A,信用债,5,0,2024-07-04,1.1056,0.0002,2.64
007168,华安安和债券C,信用债,5,0,2024-07-04,1.0390,0.0003,3.06
006184,格林泓鑫纯债债券A,纯债,5,5,2024-07-04,1.1379,0.0000,2.61
000104,华宸未来稳健添利债券A,纯债,5,4,2024-07-04,1.2554,0.0001,2.82
006980,国寿安保泰恒纯债债券,纯债,5,4,2024-07-04,1.1042,-0.0001,4.05
002073,圆信永丰兴融债券A,信用债,5,5,2024-07-04,1.0287,0.0002,2.51
007167,华安安和债券A,信用债,5,0,2024-07-04,1.0277,0.0002,3.10
001300,大成睿景灵活配置混合A,积极配置 - 中小盘,5,5,2024-07-04,2.0990,-0.0140,11.18
005660,嘉实资源精选股票A,大盘成长股票,5,5,2024-07-04,2.8698,0.0119,19.95
007540,华泰保兴安悦债券A,利率债,5,0,2024-07-04,1.0630,-0.0011,6.25
630103,华商收益增强债券B,积极债券,5,3,2024-07-04,1.3390,-0.0060,-0.96
006853,中银汇享债券,纯债,5,0,2024-07-04,1.1636,0.0002,3.89
004913,中银证券聚瑞混合A,保守混合,5,4,2024-07-04,1.3693,-0.0027,-0.36
011490,创金合信双季享6个月持有期债券C,普通债券,5,0,2024-07-04,1.1425,0.0002,2.84
002018,鹏华弘安灵活配置混合A,保守混合,5,4,2024-07-04,1.5152,0.0001,1.66
007311,方正富邦添利纯债债券A,纯债,5,0,2024-07-04,1.0252,0.0002,3.12
009101,安信稳健增利混合C,沪港深保守混合,5,0,2024-07-04,1.2776,-0.0046,6.10
009796,大成汇享一年持有期混合A,保守混合,5,0,2024-07-04,1.1501,-0.0024,5.12
