代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
014459,南方中债1-5年国开行债券指数E,利率债,0,0,2024-07-04,1.1127,-0.0005,3.23
159795,汇添富中证智能汽车主题ETF,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.7061,-0.0043,-13.83
014517,华夏30天滚动持有短债债券A,短债,0,0,2024-07-04,1.0807,0.0001,1.72
014518,华夏30天滚动持有短债债券C,短债,0,0,2024-07-04,1.0751,0.0000,1.62
013969,华夏永利一年持有混合A,沪港深保守混合,0,0,2024-07-04,1.0461,-0.0006,4.35
013970,华夏永利一年持有混合C,沪港深保守混合,0,0,2024-07-04,1.0359,-0.0007,4.13
970107,东海证券海鑫双悦3个月滚动持有债券A,普通债券,0,0,2024-07-04,1.1193,0.0001,1.89
011830,富国天恒混合A,沪港深积极配置,0,0,2024-07-04,1.0499,-0.0030,2.87
970108,东海证券海鑫双悦3个月滚动持有债券C,普通债券,0,0,2024-07-04,1.0981,0.0002,1.74
013936,广发睿升混合A,沪港深积极配置,0,0,2024-07-04,0.6910,-0.0032,-2.72
011831,富国天恒混合C,沪港深积极配置,0,0,2024-07-04,1.0347,-0.0030,2.55
014634,景顺长城ESG量化股票A,大盘平衡股票,0,0,2024-07-04,0.8281,-0.0041,0.74
013937,广发睿升混合C,沪港深积极配置,0,0,2024-07-04,0.6843,-0.0031,-2.92
014374,景顺长城隽丰平衡养老目标三年持有期混合（FOF）A,标准混合,0,0,2024-07-02,0.9421,-0.0034,1.05
014635,景顺长城ESG量化股票C,大盘平衡股票,0,0,2024-07-04,0.8178,-0.0040,0.43
970088,东吴安鑫中短债B,短债,0,0,2024-07-04,1.0717,0.0000,1.81
970087,东吴安鑫中短债A,短债,0,0,2024-07-04,1.0693,0.0001,1.56
014383,申万菱信集利三个月定期开放债券,纯债（封闭式）,0,0,2024-07-04,1.0376,-0.0002,2.44
970089,东吴安鑫中短债C,短债,0,0,2024-07-04,1.0623,0.0001,1.43
013054,天弘国证龙头家电指数C,行业股票 - 消费,0,0,2024-07-04,1.0297,0.0020,8.64
013053,天弘国证龙头家电指数A,行业股票 - 消费,0,0,2024-07-04,1.0389,0.0021,8.75
012855,英大中证ESG120策略指数C,大盘平衡股票,0,0,2024-07-04,0.9056,-0.0017,3.28
012854,英大中证ESG120策略指数A,大盘平衡股票,0,0,2024-07-04,0.8722,-0.0017,3.32
014617,易方达如意安和一年持有混合（FOF）A,保守混合,0,0,2024-07-02,1.0414,-0.0007,2.36
